organism,NCBI.reference.nr,host,host.disease,isolation.source,sample.type,free.living,disease.associated
Pseudomonas cerasi,LT963395.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae pv. cerasicola,LT963391.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae pv. syringae,LT962481.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae pv. syringae,LT962480.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas viridiflava,LT855380.1,Prunus cerasus,NA,diseased cherry tree,NA,host.associated,disease.associated
Pseudomonas aeruginosa 213BR,AFXK01000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas veronii 1YdBTEX2,LT599583.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas cerasi,LT222319.1,Prunus cerasus (sour cherry),NA,Sour cherry (Prunus cerasus) symptomatic leaf,NA,host.associated,disease.associated
Pseudomonas sp. CCOS 191,LN847264.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas entomophila L48,CT573326.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa 19BR,AFXJ01000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_JADEVH010000001.1,NA,NA,hospital sewage,cell culture,free.living,unknown
Pseudomonas syringae pv. syringae B64,NZ_CM001763.1,Triticum aestivum,NA,leaf,NA,host.associated,unknown
Pseudomonas aeruginosa PA96,NZ_CP007224.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_JACKWT010000001.1,Homo sapiens,Asymptomatic Bacteriuria,urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JACKWR010000001.1,Homo sapiens,Asymptomatic Bacteriuria,urine,NA,host.associated,disease.associated
Pseudomonas fragi,NZ_CP021986.1,NA,NA,soil,NA,free.living,unknown
Pseudomonas aeruginosa,NZ_CP015649.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas fluorescens R124,NZ_CM001561.1,NA,NA,orthoquartzite cave surface,NA,free.living,unknown
Pseudomonas fluorescens Q8r1-96,NZ_CM001512.1,NA,NA,roots of wheat grown in an agricultural field near Quincy,NA,host.associated,unknown
Pseudomonas synxantha BG33R,NZ_CM001514.1,NA,NA,rhizosphere of a peach tree in an orchard near Elgin,NA,host.associated,unknown
Pseudomonas chlororaphis O6,NZ_CM001490.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas fluorescens WH6,NZ_CM001025.1,NA,NA,wheat rhizosphere,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_LR739069.1,Homo sapiens,NA,clinical,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_LR739068.1,Homo sapiens,NA,clinical,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_LR739071.1,Homo sapiens,NA,clinical,NA,host.associated,unknown
Pseudomonas synxantha,NZ_LR590482.1,not available: not collected,NA,not available: not collected,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_LR130536.1,Homo sapiens,NA,hospital,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_LR130530.1,Homo sapiens,NA,hospital,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_LR130528.1,Homo sapiens,NA,hospital,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_LR130527.1,Homo sapiens,NA,hospital,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_LR130537.1,Homo sapiens,NA,hospital,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_LR130535.1,Homo sapiens,NA,hospital,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_LR130534.1,Homo sapiens,NA,hospital,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_LR130533.1,Homo sapiens,NA,hospital,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_LR130531.1,Homo sapiens,NA,hospital,NA,host.associated,unknown
Pseudomonas chlororaphis subsp. aurantiaca,NZ_AP014623.1,Solanum tuberosum L.,NA,NA,NA,host.associated,unknown
Pseudomonas fluorescens,NZ_LT907842.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas vancouverensis,NZ_LT629803.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas yamanorum,NZ_LT629793.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas sp. bs2935,NZ_LT629744.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. Z003-0.4C(8344-21),NZ_LT629756.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas sihuiensis,NZ_LT629797.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas prosekii,NZ_LT629762.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas reinekei,NZ_LT629709.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas brenneri,NZ_LT629800.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas granadensis,NZ_LT629778.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas mucidolens,NZ_LT629802.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas cedrina,NZ_LT629753.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas asplenii,NZ_LT629777.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas arsenicoxydans,NZ_LT629705.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas rhodesiae,NZ_LT629801.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas lini,NZ_LT629746.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas mandelii,NZ_LT629796.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas fragi,NZ_LT629783.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas koreensis,NZ_LT629687.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas extremaustralis,NZ_LT629689.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas mediterranea,NZ_LT629790.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas azotoformans,NZ_LT629702.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas poae,NZ_LT629706.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas antarctica,NZ_LT629704.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas libanensis,NZ_LT629699.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas moraviensis,NZ_LT629788.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas extremorientalis,NZ_LT629708.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas umsongensis,NZ_LT629767.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas synxantha,NZ_LT629786.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas thivervalensis,NZ_LT629691.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas trivialis,NZ_LT629760.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas chlororaphis,NZ_LT629761.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas chlororaphis,NZ_LT629738.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas chlororaphis,NZ_LT629747.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas corrugata,NZ_LT629798.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas fuscovaginae,NZ_LT629972.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas brassicacearum,NZ_LT629713.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae,NZ_LT629769.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas sp. B10,NZ_LT707063.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas sp. 7SR1,NZ_LT707064.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas putida,NZ_LT707061.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas sp. A214,NZ_LT707062.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas orientalis,NZ_LT629782.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas psychrophila,NZ_LT629795.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. StFLB209,NZ_AP014637.1,Solanum tuberosum L.,NA,NA,NA,host.associated,unknown
Pseudomonas syringae pv. tomato,NZ_JADZGO010000021.1,Solanum lycopersicum,NA,seedlings,cell culture,host.associated,unknown
Pseudomonas sp. BG2dil,NZ_JADOUD010000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas veronii,NZ_JXWQ02000001.1,NA,NA,soil,Monoisolate,free.living,unknown
Pseudomonas simiae,NZ_CP007637.1,Wheat,NA,Wheat rhizosphere,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_JAJNEF010000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas tolaasii,NZ_CP020369.1,Agaricus bisporus,NA,NA,Culture,host.associated,unknown
Pseudomonas mendocina,NZ_JOVT01000001.1,NA,NA,soil,NA,free.living,unknown
Pseudomonas aeruginosa,NZ_WOFT01000001.1,Homo sapiens,NA,adult male urine,bacterial culture,host.associated,unknown
Pseudomonas sp. BIGb0427,NZ_CP062498.1,NA,NA,butterbur,whole organism,host.associated,unknown
Pseudomonas mandelii,NZ_RHGD01000001.1,NA,NA,Groundwater sampled from observation wells near of preserved surface repository of liquid radioactive waste,pure culture,free.living,unknown
Pseudomonas aeruginosa,NZ_JAGSOC010000001.1,chicken,NA,feces,feces,unknown,unknown
Pseudomonas syringae pv. syringae SM,NZ_CM001986.1,Triticum aestivum,NA,leaf,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_LOJK01000001.1,NA,NA,formation water of oilfield produced fluid,whole organism,free.living,unknown
Pseudomonas aeruginosa PAO1H2O,NZ_CP008749.1,NA,NA,water,NA,free.living,unknown
Pseudomonas aeruginosa LESB65,NZ_CP006983.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa LESlike7,NZ_CP006981.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa LES400,NZ_CP006982.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa LESlike5,NZ_CP006980.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa LESlike4,NZ_CP006985.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa str. Stone 130,NZ_KI517348.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa MSH3,NZ_KI519298.1,NA,NA,Environmental (water),NA,free.living,unknown
Pseudomonas aeruginosa BWHPSA004,NZ_KI519157.1,Homo sapiens,NA,"toenail, subungal debris",NA,host.associated,unknown
Pseudomonas aeruginosa BWHPSA013,NZ_KI519078.1,Homo sapiens,NA,sputum,NA,host.associated,unknown
Pseudomonas aeruginosa BWHPSA021,NZ_KI519023.1,Homo sapiens,NA,sputum,NA,host.associated,unknown
Pseudomonas aeruginosa BWHPSA022,NZ_KI519017.1,Homo sapiens,NA,sputum,NA,host.associated,unknown
Pseudomonas aeruginosa BL05,NZ_KI518928.1,Homo sapiens,NA,Corneal Scraping,NA,host.associated,unknown
Pseudomonas aeruginosa BL17,NZ_KI518822.1,Homo sapiens,NA,eye,NA,host.associated,unknown
Pseudomonas aeruginosa BL21,NZ_KI518793.1,Homo sapiens,NA,Corneal Scraping,NA,host.associated,unknown
Pseudomonas aeruginosa C20,NZ_KI518719.1,NA,NA,environmental,NA,free.living,unknown
Pseudomonas aeruginosa C23,NZ_KI518716.1,NA,NA,environmental,NA,free.living,unknown
Pseudomonas aeruginosa C41,NZ_KI518709.1,NA,NA,environmental,NA,free.living,unknown
Pseudomonas aeruginosa PA14,NZ_KE136335.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa PAK,NZ_KE137323.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. m5,NZ_JAFBBH010000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_LORX02000003.1,Homo sapiens,Urinary tract infection,urine cathether,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_NJFL02000001.1,Homo sapiens,Colonization,endotracheal aspirate,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_LORM02000001.1,Homo sapiens,Colonization,endotracheal aspirate,NA,host.associated,disease.associated
Pseudomonas putida,NZ_PDKZ01000002.1,Homo sapiens,Missing,jejunal aspirate,Missing,host.associated,unknown
Pseudomonas putida,NZ_PDEH01000001.1,Homo sapiens,Missing,blood,Missing,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP063237.1,Homo sapiens,NA,NA,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_KN050641.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa PS50,NZ_KI914433.1,Homo sapiens,NA,Environmental isolate,NA,host.associated,unknown
Pseudomonas aeruginosa Z61,NZ_KI914456.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa BWHPSA041,NZ_KI914515.1,Homo sapiens,NA,wound,NA,host.associated,unknown
Pseudomonas aeruginosa BWHPSA044,NZ_KI914481.1,Homo sapiens,NA,urine,NA,host.associated,unknown
Pseudomonas aeruginosa BWHPSA038,NZ_KI914540.1,Homo sapiens,NA,Nail bed,NA,host.associated,unknown
Pseudomonas aeruginosa BWHPSA005,NZ_KI519153.1,Homo sapiens,NA,urine,NA,host.associated,unknown
Pseudomonas aeruginosa BWHPSA009,NZ_KI519116.1,Homo sapiens,NA,Groin abscess,NA,host.associated,unknown
Pseudomonas aeruginosa BL18,NZ_KI518819.1,Homo sapiens,NA,General Eye,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_JAIFKD010000001.1,Homo sapiens,NA,urine,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_JAIEXW010000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_JAIFKE010000001.1,Homo sapiens,NA,wound swab,NA,host.associated,unknown
Pseudomonas syringae,NZ_CP034558.1,Solanum lycopersicoides,NA,NA,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aureofaciens 30-84,NZ_CM001559.1,wheat,NA,rhizosphere,NA,host.associated,unknown
Pseudomonas fluorescens Q2-87,NZ_CM001558.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas urmiensis,NZ_JABWRE020000001.1,NA,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas kermanshahensis,NZ_JABWRY020000001.1,NA,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas sp. Marseille-Q3773,NZ_OU745390.1,NA,NA,Skin sampling,NA,host.associated,unknown
Pseudomonas sp. Marseille-Q5115,NZ_CAKAKI010000001.1,NA,NA,sputum,NA,host.associated,unknown
Pseudomonas cannabina pv. alisalensis,NZ_CP084323.1,Radish,NA,NA,NA,host.associated,unknown
Pseudomonas cannabina pv. alisalensis,CP084323.1,Radish,NA,NA,NA,host.associated,unknown
Pseudomonas umsongensis,NZ_CP044409.1,NA,NA,soil,soil,free.living,unknown
Pseudomonas putida,NZ_CP083988.1,Panax ginseng,NA,NA,cell culture,host.associated,unknown
Pseudomonas putida,NZ_CP060529.1,Homo sapiens,septic joint,purulent synovial fluid,NA,host.associated,disease.associated
Pseudomonas putida,NZ_QWEF01000001.1,Meloidogyne sp.,NA,Root knot nematode egg mass,Egg mass,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP015650.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP043549.1,Homo sapiens,no data,urina,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP043483.1,Homo sapiens,no data,no data,NA,host.associated,unknown
Pseudomonas arsenicoxydans,NZ_CP024767.1,NA,NA,Moss rhizosphere,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_UGUF01000002.1,not available,NA,not available: to be reported later,NA,unknown,unknown
Pseudomonas putida,NZ_UGUY01000001.1,environmental,NA,Garden soil,NA,free.living,unknown
Pseudomonas fluorescens,NZ_CP017951.1,Pisum sativum,NA,rhizosphere,sequence of the whole organism,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP031878.1,NA,NA,hospital wastewaters,Cell culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP032540.1,NA,NA,NA,Microbial isolate,unknown,unknown
Pseudomonas oryzihabitans,NZ_CP022198.1,NA,NA,Mimosa scabrella shoot,single cell,host.associated,unknown
Pseudomonas thivervalensis,NZ_CP022202.1,NA,NA,agricultural soil,single cell,unknown,unknown
Pseudomonas aeruginosa,NZ_CP031879.1,NA,NA,hospital wastewaters,Cell culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP031877.1,NA,NA,hospital wastewaters,Cell culture,free.living,unknown
Pseudomonas thivervalensis,NZ_CP022201.1,NA,NA,Solanum capsicoides fruit,single cell,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP031876.1,NA,NA,hospital wastewaters,Cell culture,free.living,unknown
Pseudomonas sp. SLBN-26,NZ_VFOB01000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa UCBPP-PA14,NZ_CP034244.1,NA,NA,Chemostat culture,Chemostat culture,unknown,unknown
Pseudomonas aeruginosa,NZ_CABEEV010000008.1,not available: not collected,NA,not available: not collected,NA,unknown,unknown
Pseudomonas lactis,NZ_CM001513.1,NA,NA,rhizosphere of wheat grown in soil collected from a polder near Bergen op Zoom,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_UWWR01000001.1,Homo sapiens,NA,hospital,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_UWXD01000001.1,Homo sapiens,NA,hospital,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_UWXL01000001.1,Homo sapiens,NA,hospital,NA,host.associated,unknown
Pseudomonas sp. ERGC3:01,NZ_JAIEWI010000002.1,NA,NA,ice melting water from glacier site,Whole organism,free.living,unknown
Pseudomonas aeruginosa,NZ_UWVR01000001.1,Homo sapiens,NA,hospital,NA,host.associated,unknown
Pseudomonas sp. S5F11,NZ_JAIFJZ010000001.1,NA,NA,soil,single cell,free.living,unknown
Pseudomonas aeruginosa,NZ_CP030075.1,NA,NA,hospital,organism,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP059063.1,Homo sapiens,no_data,tracheal aspirate,NA,host.associated,unknown
Pseudomonas sp. GW101-3H06,NZ_JACNBA010000001.1,NA,NA,groundwater,cell culture,free.living,unknown
Pseudomonas sp. FW300-N1B4,NZ_JACNDV010000001.1,NA,NA,groundwater,cell culture,free.living,unknown
Pseudomonas sp. FW300-N2E3,NZ_JACNDR010000001.1,NA,NA,groundwater,cell culture,free.living,unknown
Pseudomonas aeruginosa,NZ_UGUO01000001.1,not available,NA,not available: to be reported later,NA,unknown,unknown
Pseudomonas putida,NZ_UGUZ01000001.1,Homo sapiens,NA,urine,NA,host.associated,unknown
Pseudomonas mendocina,NZ_UGUU01000001.1,environmental,NA,freshwater,NA,free.living,unknown
Pseudomonas aeruginosa,NZ_UGUH01000001.1,not available,NA,not available: to be reported later,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_UGUM01000004.1,Homo sapiens,NA,blood,NA,host.associated,unknown
Pseudomonas fluorescens,NZ_UGUS01000002.1,Homo sapiens,NA,Stored plasma,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_UGUL01000002.1,Homo sapiens,NA,urine,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_UGUJ01000005.1,not available,NA,not available: to be reported later,NA,unknown,unknown
Pseudomonas fluorescens,NZ_UGUR01000001.1,Homo sapiens,NA,Cerebrospinal-fluid,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP051768.1,Homo sapiens,nosocomial pneumonia,tracheal aspirate,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP051766.1,Homo sapiens,nosocomial pneumonia,tracheal aspirate,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP051770.1,Homo sapiens,nosocomial pneumonia,tracheal aspirate,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_QMGP01000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_QMGO01000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_QMGI01000002.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_QMGQ01000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_QMGL01000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_QMGJ01000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_QHCK01000002.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_PSQS01000003.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_PSQR01000005.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_PSQP01000004.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_PSQQ01000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas putida,NZ_MIND01000018.1,NA,NA,coastal water,NA,free.living,unknown
Pseudomonas sp. Colony2,NZ_CP080030.1,NA,NA,Wond Swab,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP053111.1,Homo sapiens,Chronic rhinosinusitis,respiratory tract,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP053110.1,Homo sapiens,Chronic rhinosinusitis,respiratory tract,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP053112.1,Homo sapiens,Chronic rhinosinusitis,respiratory tract,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP053116.1,Homo sapiens,Chronic rhinosinusitis,respiratory tract,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP053114.1,Homo sapiens,Chronic rhinosinusitis,respiratory tract,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP053118.1,Homo sapiens,Chronic rhinosinusitis,respiratory tract,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP053115.1,Homo sapiens,Chronic rhinosinusitis,respiratory tract,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP053117.1,Homo sapiens,Chronic rhinosinusitis,respiratory tract,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP053119.1,Homo sapiens,Chronic rhinosinusitis,respiratory tract,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP053113.1,Homo sapiens,Chronic rhinosinusitis,respiratory tract,NA,host.associated,disease.associated
Pseudomonas moraviensis,NZ_JACCAT010000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas flavescens,NZ_JACBYV010000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas moraviensis,NZ_NRST01000001.1,Taxus cuspidata,NA,NA,whole organism,host.associated,unknown
Pseudomonas aeruginosa,NZ_NMRU01000001.1,NA,NA,Open Ocean,culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP058323.1,NA,NA,orange fruit with canker citrus,cell culture,host.associated,disease.associated
Pseudomonas sp. IB20,NZ_CP046103.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. KBS0710,NZ_VCCF02000001.1,NA,NA,soil,environmental isolate,free.living,unknown
Pseudomonas sp. ATCC 13985,NZ_VCCM02000001.1,NA,NA,soil,environmental isolate,free.living,unknown
Pseudomonas sp. ACM7,NZ_CP024866.1,NA,NA,Moss rhizosphere,cell culture,host.associated,unknown
Pseudomonas putida,NZ_UGUX01000003.1,not available,NA,not available: to be reported later,NA,unknown,unknown
Pseudomonas fluorescens,NZ_CP078138.1,Caenorhabditis elegans,NA,NA,cell culture,host.associated,unknown
Pseudomonas sp. LPB0260,NZ_CP058247.1,NA,NA,soil,Whole organism,free.living,unknown
Pseudomonas sp. s211(2017),NZ_CP024081.1,NA,NA,rhizosphere,agricultured soil conataminated with pesticides,host.associated,unknown
Pseudomonas sp. S5D5,NZ_PTEO01000001.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas sp. BRM28,NZ_PEFV01000001.1,NA,NA,phosphogypsum,Phosphogypsum,free.living,unknown
Pseudomonas sp. 09C 129,NZ_CP025261.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. 02C 26,NZ_CP025262.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. S09G 359,NZ_CP025263.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. S10E 269,NZ_PHIJ01000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. S09F 262,NZ_PHII01000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. NS1(2017),NZ_CP022960.1,Agaricus bisporus,NA,Mushroom cap surface,Whole organism,host.associated,unknown
Pseudomonas sp. C9,NZ_MPAK01000001.1,kale plants,NA,NA,isolate,host.associated,unknown
Pseudomonas aeruginosa,NZ_MPBN01000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_MPBS01000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. WCS374,NZ_CP007638.1,Potato,NA,Potato rhizosphere,NA,host.associated,unknown
Pseudomonas sp. P179,NZ_KI517354.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas fluorescens,CP078138.1,Caenorhabditis elegans,NA,NA,cell culture,host.associated,unknown
Pseudomonas sp. UC 17F4,NZ_FNKV01000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP056092.1,Homo sapiens,Ventilator-associated pneumonia,endotracheal tube (ETT) or tracheostomy tube,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP056101.1,Homo sapiens,Ventilator-associated pneumonia,endotracheal tube (ETT) or tracheostomy tube,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP056090.1,Homo sapiens,Ventilator-associated pneumonia,endotracheal tube (ETT) or tracheostomy tube,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP056095.1,Homo sapiens,Ventilator-associated pneumonia,endotracheal tube (ETT) or tracheostomy tube,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP056094.1,Homo sapiens,Ventilator-associated pneumonia,endotracheal tube (ETT) or tracheostomy tube,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP056089.1,Homo sapiens,Ventilator-associated pneumonia,endotracheal tube (ETT) or tracheostomy tube,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP056100.1,Homo sapiens,Ventilator-associated pneumonia,endotracheal tube (ETT) or tracheostomy tube,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP056098.1,Homo sapiens,Ventilator-associated pneumonia,endotracheal tube (ETT) or tracheostomy tube,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP056093.1,Homo sapiens,Ventilator-associated pneumonia,endotracheal tube (ETT) or tracheostomy tube,NA,host.associated,disease.associated
Pseudomonas gessardii,NZ_FNKR01000003.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas palleroniana,NZ_FNUA01000002.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas frederiksbergensis,NZ_FNTF01000002.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas costantinii,NZ_FNTS01000002.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas kilonensis,NZ_FNTT01000002.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas viridiflava,NZ_CP077719.1,Medicago sativa,NA,plant,bacterial cells,host.associated,unknown
Pseudomonas viridiflava,NZ_CP077721.1,Medicago sativa,NA,plant,bacterial cells,host.associated,unknown
Pseudomonas viridiflava,NZ_CP077718.1,Medicago sativa,NA,plant,bacterial cells,host.associated,unknown
Pseudomonas viridiflava,NZ_CP077722.1,Medicago sativa,NA,plant,bacterial cells,host.associated,unknown
Pseudomonas viridiflava,NZ_CP077720.1,Medicago sativa,NA,plant,bacterial cells,host.associated,unknown
